N,wide_area,wide_relative_error,narrow_area,narrow_relative_error,large_area,large_relative_error
45600,0.931776,0.0134893,0.782982,0.171024,0.927632,0.0178775
46100,0.933189,0.0119939,0.786269,0.167544,0.934382,0.0107308
46600,0.915064,0.0311829,0.785429,0.168433,0.95279,0.00875846
47100,0.953503,0.00951385,0.784331,0.169596,0.930998,0.0143135
47600,0.955588,0.0117214,0.784475,0.169444,0.908613,0.0380128
48100,0.949023,0.00477036,0.789376,0.164254,0.954782,0.0108675
48600,0.945185,0.000707239,0.786173,0.167646,0.947531,0.00319071
49100,0.943075,0.00152653,0.785275,0.168596,0.951629,0.00752992
49600,0.942097,0.00256259,0.787601,0.166134,0.946573,0.00217613
50100,0.942754,0.00186624,0.78489,0.169004,0.946108,0.00168403
50600,0.959941,0.0163295,0.781779,0.172298,0.945652,0.00120166
51100,0.947378,0.00302854,0.784599,0.169312,0.962818,0.0193758
51600,0.958081,0.014361,0.78531,0.168559,0.940407,0.00435165
52100,0.955451,0.0115761,0.782514,0.171519,0.901152,0.0459129
52600,0.947053,0.00268502,0.788061,0.165647,0.913023,0.0333444
53100,0.945763,0.00131869,0.783315,0.170672,0.927024,0.0185203
53600,0.949534,0.00531107,0.787369,0.166379,0.954291,0.010348
54100,0.939427,0.00538921,0.788558,0.16512,0.920055,0.0258987
54600,0.969396,0.0263398,0.785989,0.16784,0.932234,0.0130043
55100,0.935608,0.00943254,0.784446,0.169474,0.96461,0.0212729
55600,0.948237,0.00393876,0.788327,0.165365,0.932104,0.013142
56100,0.934332,0.010784,0.784153,0.169784,0.931373,0.0139168
56600,0.934505,0.0106,0.786961,0.166811,0.970848,0.0278776
57100,0.935622,0.00941801,0.784851,0.169045,0.90937,0.0372123
57600,0.934844,0.0102417,0.783108,0.170891,0.954427,0.010492
58100,0.930981,0.0143313,0.788348,0.165343,0.943201,0.0013931
58600,0.94285,0.0017653,0.782884,0.171128,0.97227,0.0293827
59100,0.944315,0.000214358,0.784112,0.169828,0.914975,0.031278
59600,0.964933,0.021615,0.784295,0.169634,0.936242,0.0087617
60100,0.955408,0.0115302,0.784626,0.169284,0.935524,0.00952133
60600,0.943069,0.00153293,0.783944,0.170006,0.934406,0.0107052
61100,0.952144,0.00807486,0.784206,0.169728,0.944354,0.000173281
61600,0.937256,0.0076872,0.784838,0.169059,0.930601,0.014734
62100,0.935217,0.00984608,0.783913,0.170038,0.96095,0.0173982
62600,0.945,0.000511176,0.787284,0.166469,0.958866,0.0151915
63100,0.950919,0.00677806,0.784263,0.169668,0.94374,0.000822739
63600,0.958443,0.0147443,0.785487,0.168371,0.965409,0.0221188
64100,0.938752,0.0061039,0.786661,0.167128,0.950858,0.00671332
64600,0.959211,0.0155565,0.784133,0.169805,0.948529,0.00424791
65100,0.933456,0.0117107,0.786759,0.167025,0.932412,0.0128166
65600,0.95282,0.00879067,0.787729,0.165999,0.958079,0.0143587
66100,0.940303,0.00446219,0.784266,0.169664,0.956505,0.0126923
66600,0.945946,0.00151269,0.784024,0.169921,0.95045,0.0062818
67100,0.942787,0.00183194,0.78389,0.170063,0.935171,0.00989479
67600,0.946065,0.00163883,0.785873,0.167963,0.943417,0.00116464
68100,0.95326,0.00925629,0.78489,0.169004,0.948605,0.00432793
68600,0.928732,0.0167127,0.783761,0.170199,0.9457,0.00125199
69100,0.950275,0.006096,0.786889,0.166888,0.913893,0.0324232
69600,0.949784,0.00557671,0.786509,0.16729,0.956537,0.0127263
70100,0.945835,0.00139472,0.78689,0.166886,0.970399,0.0274026
70600,0.940156,0.00461757,0.786431,0.167373,0.964235,0.0208762
71100,0.952785,0.00875328,0.785176,0.168701,0.980309,0.0378947
71600,0.934316,0.0108008,0.783547,0.170425,0.968925,0.0258411
72100,0.94294,0.00166945,0.78527,0.168601,0.950069,0.00587831
72600,0.934091,0.0110387,0.785634,0.168217,0.957989,0.0142632
73100,0.941984,0.00268243,0.78736,0.166389,0.944938,0.000446
73600,0.935707,0.00932822,0.78284,0.171175,0.94769,0.00335942
74100,0.952713,0.00867678,0.786329,0.16748,0.950067,0.00587633
74600,0.946206,0.00178848,0.785362,0.168504,0.919906,0.0260567
75100,0.924927,0.0207412,0.786192,0.167626,0.95506,0.011162
75600,0.940595,0.00415233,0.786468,0.167333,0.949405,0.00517468
76100,0.943876,0.000678344,0.78548,0.16838,0.985545,0.0434382
76600,0.94594,0.00150634,0.783303,0.170684,0.944191,0.00034577
77100,0.93537,0.00968488,0.782309,0.171737,0.945525,0.00106732
77600,0.938969,0.00587402,0.78558,0.168274,0.95393,0.00996618
78100,0.956581,0.0127728,0.784379,0.169545,0.927337,0.0181897
78600,0.941679,0.00300449,0.784873,0.169022,0.933842,0.011302
79100,0.951884,0.00779923,0.78536,0.168506,0.918142,0.0279249
79600,0.943643,0.000925309,0.786583,0.167212,0.956658,0.0128543
80100,0.946404,0.00199817,0.786854,0.166925,0.931648,0.0136252
80600,0.933834,0.011311,0.787643,0.16609,0.968052,0.0249174
81100,0.954488,0.0105568,0.784735,0.169168,0.964858,0.0215359
81600,0.946103,0.00167891,0.787598,0.166137,0.922488,0.0233235
82100,0.951413,0.00730079,0.78609,0.167733,0.948234,0.003935
82600,0.950121,0.00593306,0.784758,0.169144,0.937651,0.00726917
83100,0.952852,0.0088244,0.786378,0.167429,0.927497,0.01802
83600,0.935634,0.00940503,0.78622,0.167596,0.962022,0.0185326
84100,0.960143,0.0165434,0.783864,0.17009,0.94025,0.00451816
84600,0.946915,0.00253855,0.784657,0.16925,0.971631,0.0287068
85100,0.947697,0.00336642,0.785405,0.168458,0.95094,0.00680018
85600,0.94153,0.00316226,0.785257,0.168615,0.95035,0.00617594
86100,0.940662,0.00408163,0.783124,0.170873,0.92712,0.0184195
86600,0.943857,0.000699165,0.786605,0.167188,0.935624,0.00941606
87100,0.935649,0.00938946,0.787451,0.166292,0.972445,0.0295688
87600,0.960308,0.0167186,0.784212,0.169721,0.956336,0.0125127
88100,0.953019,0.00900154,0.783814,0.170143,0.975312,0.0326039
88600,0.931287,0.0140077,0.785655,0.168194,0.950903,0.00676086
